from_node,to_node,line,edge_type,estimated_minutes
CC9,CC10,CCL,ride,2.0
CC10,CC11,CCL,ride,2.0
CC11,CC12,CCL,ride,2.0
CC12,CC13,CCL,ride,2.0
CC13,CC14,CCL,ride,2.0
CC14,CC15,CCL,ride,2.0
CC15,CC16,CCL,ride,2.0
CC16,CC17,CCL,ride,2.0
CC17,CC19,CCL,ride,2.0
CC19,CC20,CCL,ride,2.0
CC20,CC21,CCL,ride,2.0
CC21,CC22,CCL,ride,2.0
CC22,CC23,CCL,ride,2.0
CC23,CC24,CCL,ride,2.0
CC24,CC25,CCL,ride,2.0
CC25,CC26,CCL,ride,2.0
CC26,CC27,CCL,ride,2.0
CC27,CC28,CCL,ride,2.0
CC28,CC29,CCL,ride,2.0
CC29,CC30,CCL,ride,2.0
CC30,CC31,CCL,ride,2.0
CC31,CC32,CCL,ride,2.0
CC32,CC33,CCL,ride,2.0
CC33,CC34,CCL,ride,2.0
DT1,DT2,DTL,ride,2.5
DT2,DT3,DTL,ride,2.5
DT3,DT4,DTL,ride,2.5
DT4,DT5,DTL,ride,2.5
DT5,DT6,DTL,ride,2.5
DT6,DT7,DTL,ride,2.5
DT7,DT8,DTL,ride,2.5
DT8,DT9,DTL,ride,2.5
DT9,DT10,DTL,ride,2.5
DT10,DT11,DTL,ride,2.5
DT11,DT12,DTL,ride,2.5
DT12,DT13,DTL,ride,2.5
DT13,DT14,DTL,ride,2.5
DT14,DT15,DTL,ride,2.5
DT15,DT16,DTL,ride,2.5
DT16,DT17,DTL,ride,2.5
DT17,DT18,DTL,ride,2.5
DT18,DT19,DTL,ride,2.5
DT19,DT20,DTL,ride,2.5
DT20,DT21,DTL,ride,2.5
DT21,DT22,DTL,ride,2.5
DT22,DT23,DTL,ride,2.5
DT23,DT24,DTL,ride,2.5
DT24,DT25,DTL,ride,2.5
DT25,DT26,DTL,ride,2.5
DT26,DT27,DTL,ride,2.5
DT27,DT28,DTL,ride,2.5
DT28,DT29,DTL,ride,2.5
DT29,DT30,DTL,ride,2.5
DT30,DT31,DTL,ride,2.5
DT31,DT32,DTL,ride,2.5
DT32,DT33,DTL,ride,2.5
DT33,DT34,DTL,ride,2.5
DT34,DT35,DTL,ride,2.5
TE1,TE2,TEL,ride,2.5
TE2,TE3,TEL,ride,2.5
TE3,TE4,TEL,ride,2.5
TE4,TE5,TEL,ride,2.5
TE5,TE6,TEL,ride,2.5
TE6,TE7,TEL,ride,2.5
TE7,TE8,TEL,ride,2.5
TE8,TE9,TEL,ride,2.5
TE9,TE11,TEL,ride,2.5
TE11,TE12,TEL,ride,2.5
TE12,TE13,TEL,ride,2.5
TE13,TE14,TEL,ride,2.5
TE14,TE15,TEL,ride,2.5
TE15,TE16,TEL,ride,2.5
TE16,TE17,TEL,ride,2.5
TE17,TE18,TEL,ride,2.5
TE18,TE19,TEL,ride,2.5
TE19,TE20,TEL,ride,2.5
TE20,TE22,TEL,ride,2.5
TE22,TE23,TEL,ride,2.5
TE23,TE24,TEL,ride,2.5
TE24,TE25,TEL,ride,2.5
TE25,TE26,TEL,ride,2.5
TE26,TE27,TEL,ride,2.5
TE27,TE28,TEL,ride,2.5
TE28,TE29,TEL,ride,2.5
BP1,BP2,BPLRT,ride,1.5
BP2,BP3,BPLRT,ride,1.5
BP3,BP4,BPLRT,ride,1.5
BP4,BP5,BPLRT,ride,1.5
BP5,BP6,BPLRT,ride,1.5
BP6,BP7,BPLRT,ride,1.5
BP7,BP8,BPLRT,ride,1.5
BP8,BP9,BPLRT,ride,1.5
BP9,BP10,BPLRT,ride,1.5
BP10,BP11,BPLRT,ride,1.5
BP11,BP12,BPLRT,ride,1.5
BP12,BP13,BPLRT,ride,1.5
BP13,BP6,BPLRT,ride,1.5
STC,SE1,NEL,ride,1.5
SE1,SE2,NEL,ride,1.5
SE2,SE3,NEL,ride,1.5
SE3,SE4,NEL,ride,1.5
SE4,SE5,NEL,ride,1.5
SE5,STC,NEL,ride,1.5
STC,SW1,NEL,ride,1.5
SW1,SW2,NEL,ride,1.5
SW2,SW3,NEL,ride,1.5
SW3,SW4,NEL,ride,1.5
SW4,SW5,NEL,ride,1.5
SW5,SW6,NEL,ride,1.5
SW6,SW7,NEL,ride,1.5
SW7,SW8,NEL,ride,1.5
SW8,STC,NEL,ride,1.5
PTC,PE1,NEL,ride,1.5
PE1,PE2,NEL,ride,1.5
PE2,PE3,NEL,ride,1.5
PE3,PE4,NEL,ride,1.5
PE4,PE5,NEL,ride,1.5
PE5,PE6,NEL,ride,1.5
PE6,PE7,NEL,ride,1.5
PE7,PTC,NEL,ride,1.5
PTC,PW1,NEL,ride,1.5
PW1,PW2,NEL,ride,1.5
PW2,PW3,NEL,ride,1.5
PW3,PW4,NEL,ride,1.5
PW4,PW5,NEL,ride,1.5
PW5,PW6,NEL,ride,1.5
PW6,PW7,NEL,ride,1.5
PW7,PTC,NEL,ride,1.5
EW4,CG1,EWL,ride,2.5
CG1,CG2,EWL,ride,2.5
NS1,EW24,INTERCHANGE,transfer,5.0
NS4,BP1,INTERCHANGE,transfer,5.0
NS9,TE2,INTERCHANGE,transfer,5.0
NS17,CC15,INTERCHANGE,transfer,5.0
NS21,DT11,TAP_OUT_TRANSFER,transfer,6.0
NS22,TE14,INTERCHANGE,transfer,5.0
NS24,NE6,INTERCHANGE,transfer,5.0
NS24,CC1,INTERCHANGE,transfer,5.0
NE6,CC1,INTERCHANGE,transfer,5.0
NS25,EW13,INTERCHANGE,transfer,5.0
NS26,EW14,INTERCHANGE,transfer,5.0
NS27,CC33,INTERCHANGE,transfer,5.0
NS27,TE20,INTERCHANGE,transfer,5.0
CC33,TE20,INTERCHANGE,transfer,5.0
EW2,DT32,INTERCHANGE,transfer,5.0
EW8,CC9,INTERCHANGE,transfer,5.0
EW12,DT14,INTERCHANGE,transfer,5.0
EW16,NE3,INTERCHANGE,transfer,5.0
EW16,TE17,INTERCHANGE,transfer,5.0
NE3,TE17,INTERCHANGE,transfer,5.0
EW21,CC22,INTERCHANGE,transfer,5.0
CG1,DT35,INTERCHANGE,transfer,5.0
NE1,CC29,INTERCHANGE,transfer,5.0
NE4,DT19,INTERCHANGE,transfer,5.0
NE7,DT12,INTERCHANGE,transfer,5.0
NE12,CC13,INTERCHANGE,transfer,5.0
NE16,STC,INTERCHANGE,transfer,5.0
NE17,PTC,INTERCHANGE,transfer,5.0
CC4,DT15,INTERCHANGE,transfer,5.0
CC10,DT26,INTERCHANGE,transfer,5.0
CC17,TE9,INTERCHANGE,transfer,5.0
CC19,DT9,INTERCHANGE,transfer,5.0
CC34,DT16,INTERCHANGE,transfer,5.0
BP6,DT1,TAP_OUT_TRANSFER,transfer,6.0
TE11,DT10,INTERCHANGE,transfer,5.0
